Discord,Team,Individual,Individual?,% Calculator,Rank
,,43.63%,TRUE,43.63%,Intermediate
,,43.60%,TRUE,43.60%,Intermediate
,,43.60%,TRUE,43.60%,Intermediate
,HypeHorizen,43.55%,FALSE,#REF!,#REF!
,,43.55%,TRUE,43.55%,Intermediate
,,43.55%,TRUE,43.55%,Intermediate
,,43.51%,TRUE,43.51%,Intermediate
,,43.51%,TRUE,43.51%,Intermediate
,,43.50%,TRUE,43.50%,Intermediate
,,43.49%,TRUE,43.49%,Intermediate
,,43.47%,TRUE,43.47%,Intermediate
,Tetra Esports,43.47%,FALSE,#REF!,#REF!
,,43.45%,TRUE,43.45%,Intermediate
,,43.45%,TRUE,43.45%,Intermediate
,,43.45%,TRUE,43.45%,Intermediate
,,43.45%,TRUE,43.45%,Intermediate
,,43.45%,TRUE,43.45%,Intermediate
,,43.44%,TRUE,43.44%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.43%,TRUE,43.43%,Intermediate
,,43.40%,TRUE,43.40%,Intermediate
,,43.40%,TRUE,43.40%,Intermediate
,,43.39%,TRUE,43.39%,Intermediate
,,43.38%,TRUE,43.38%,Intermediate
,,43.35%,TRUE,43.35%,Intermediate
,PommyPurin,43.35%,FALSE,#REF!,#REF!
,,43.34%,TRUE,43.34%,Intermediate
,,43.33%,TRUE,43.33%,Intermediate
,,43.29%,TRUE,43.29%,Intermediate
,,43.29%,TRUE,43.29%,Intermediate
,,43.27%,TRUE,43.27%,Intermediate
,,43.25%,TRUE,43.25%,Intermediate
,Verity Esports White,43.25%,FALSE,#REF!,#REF!
,,43.25%,TRUE,43.25%,Intermediate
,,43.24%,TRUE,43.24%,Intermediate
,,43.24%,TRUE,43.24%,Intermediate
,Harmony,43.24%,FALSE,#REF!,#REF!
,Teddy Tactics,43.23%,FALSE,#REF!,#REF!
,,43.23%,TRUE,43.23%,Intermediate
,,43.23%,TRUE,43.23%,Intermediate
,,43.23%,TRUE,43.23%,Intermediate
,,43.23%,TRUE,43.23%,Intermediate
,,43.23%,TRUE,43.23%,Intermediate
,,43.23%,TRUE,43.23%,Intermediate
,,43.23%,TRUE,43.23%,Intermediate
,,43.23%,TRUE,43.23%,Intermediate
,,43.23%,TRUE,43.23%,Intermediate
,,43.18%,TRUE,43.18%,Intermediate
,,43.17%,TRUE,43.17%,Intermediate
,,43.13%,TRUE,43.13%,Intermediate
,,43.12%,TRUE,43.12%,Intermediate
,,43.12%,TRUE,43.12%,Intermediate
,,43.12%,TRUE,43.12%,Intermediate
,,43.11%,TRUE,43.11%,Intermediate
,,43.10%,TRUE,43.10%,Intermediate
,,43.09%,TRUE,43.09%,Intermediate
,,43.07%,TRUE,43.07%,Intermediate
,GodSpeed Black,43.05%,FALSE,#REF!,#REF!
,Yacht Club,43.05%,FALSE,#REF!,#REF!
,,43.03%,TRUE,43.03%,Intermediate
,,43.02%,TRUE,43.02%,Intermediate
,,42.99%,TRUE,42.99%,Intermediate
,,42.99%,TRUE,42.99%,Intermediate
,,42.97%,TRUE,42.97%,Intermediate
,,42.97%,TRUE,42.97%,Intermediate
,,42.95%,TRUE,42.95%,Intermediate
,,42.95%,TRUE,42.95%,Intermediate
,,42.94%,TRUE,42.94%,Intermediate
,,42.93%,TRUE,42.93%,Intermediate
,,42.89%,TRUE,42.89%,Intermediate
,,42.87%,TRUE,42.87%,Intermediate
,,42.86%,TRUE,42.86%,Intermediate
,,42.86%,TRUE,42.86%,Intermediate
,,42.86%,TRUE,42.86%,Intermediate
,,42.85%,TRUE,42.85%,Intermediate
,,42.84%,TRUE,42.84%,Intermediate
,,42.80%,TRUE,42.80%,Intermediate
,PommyPurin,42.79%,FALSE,#REF!,#REF!
,,42.77%,TRUE,42.77%,Intermediate
,Sailor Moon,42.76%,FALSE,#REF!,#REF!
,,42.75%,TRUE,42.75%,Intermediate
,,42.73%,TRUE,42.73%,Intermediate
,BabyJ Esports,42.71%,FALSE,#REF!,#REF!
,,42.70%,TRUE,42.70%,Intermediate
,,42.69%,TRUE,42.69%,Intermediate
,,42.67%,TRUE,42.67%,Intermediate
,Agoge Gaming,42.65%,FALSE,#REF!,#REF!
,,42.65%,TRUE,42.65%,Intermediate
,,42.63%,TRUE,42.63%,Intermediate
,,42.61%,TRUE,42.61%,Intermediate
,,42.61%,TRUE,42.61%,Intermediate
,,42.58%,TRUE,42.58%,Intermediate
,,42.51%,TRUE,42.51%,Intermediate
,,42.47%,TRUE,42.47%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.45%,TRUE,42.45%,Intermediate
,,42.42%,TRUE,42.42%,Intermediate
,,42.39%,TRUE,42.39%,Intermediate
,,42.39%,TRUE,42.39%,Intermediate
,,42.39%,TRUE,42.39%,Intermediate
,,42.39%,TRUE,42.39%,Intermediate
,,42.39%,TRUE,42.39%,Intermediate
,,42.31%,TRUE,42.31%,Intermediate
,,42.29%,TRUE,42.29%,Intermediate
,,42.25%,TRUE,42.25%,Intermediate
,,42.25%,TRUE,42.25%,Intermediate
,,42.25%,TRUE,42.25%,Intermediate
,Benji's Daycare 2.0,42.25%,FALSE,#REF!,#REF!
,,42.23%,TRUE,42.23%,Intermediate
,,42.22%,TRUE,42.22%,Intermediate
,,42.19%,TRUE,42.19%,Intermediate
,,42.18%,TRUE,42.18%,Intermediate
,,42.17%,TRUE,42.17%,Intermediate
,,42.17%,TRUE,42.17%,Intermediate
,,42.15%,TRUE,42.15%,Intermediate
,,42.13%,TRUE,42.13%,Intermediate
,,42.12%,TRUE,42.12%,Intermediate
,,42.09%,TRUE,42.09%,Intermediate
,,42.08%,TRUE,42.08%,Intermediate
,,42.05%,TRUE,42.05%,Intermediate
,Knives Out,42.02%,FALSE,#REF!,#REF!
,,42.00%,TRUE,42.00%,Intermediate
,Grass Eaters,41.94%,FALSE,#REF!,#REF!
,HypeHorizen,41.93%,FALSE,#REF!,#REF!
,,41.91%,TRUE,41.91%,Intermediate
,,41.89%,TRUE,41.89%,Intermediate
,,41.88%,TRUE,41.88%,Intermediate
,,41.76%,TRUE,41.76%,Intermediate
,,41.75%,TRUE,41.75%,Intermediate
,,41.71%,TRUE,41.71%,Intermediate
,,41.68%,TRUE,41.68%,Intermediate
,,41.65%,TRUE,41.65%,Intermediate
,,41.65%,TRUE,41.65%,Intermediate
,,41.61%,TRUE,41.61%,Intermediate
,,41.59%,TRUE,41.59%,Intermediate
,,41.52%,TRUE,41.52%,Intermediate
,,41.52%,TRUE,41.52%,Intermediate
,,41.46%,TRUE,41.46%,Intermediate
,,41.45%,TRUE,41.45%,Intermediate
,,41.45%,TRUE,41.45%,Intermediate
,,41.43%,TRUE,41.43%,Intermediate
,,41.43%,TRUE,41.43%,Intermediate
,Worst Generation,41.38%,FALSE,#REF!,#REF!
,,41.38%,TRUE,41.38%,Intermediate
,,41.37%,TRUE,41.37%,Intermediate
,,41.09%,TRUE,41.09%,Intermediate
,,41.09%,TRUE,41.09%,Intermediate
,5K Amethyst,41.07%,FALSE,#REF!,#REF!
,,41.06%,TRUE,41.06%,Intermediate
,YCP,41.02%,FALSE,#REF!,#REF!
,,41.01%,TRUE,41.01%,Intermediate
,,40.95%,TRUE,40.95%,Intermediate
,Godset,40.82%,FALSE,#REF!,#REF!
,the nation,40.78%,FALSE,#REF!,#REF!
,,40.77%,TRUE,40.77%,Intermediate
,,40.76%,TRUE,40.76%,Intermediate
,,40.76%,TRUE,40.76%,Intermediate
,,40.71%,TRUE,40.71%,Intermediate
,,40.66%,TRUE,40.66%,Intermediate
,,40.64%,TRUE,40.64%,Intermediate
,,40.61%,TRUE,40.61%,Intermediate
,,40.54%,TRUE,40.54%,Intermediate
,,40.53%,TRUE,40.53%,Intermediate
,Hitmen,40.50%,FALSE,#REF!,#REF!
,Disciples,40.47%,FALSE,#REF!,#REF!
,,40.44%,TRUE,40.44%,Intermediate
,,40.43%,TRUE,40.43%,Intermediate
,Ikigai,40.38%,FALSE,#REF!,#REF!
,Moon Raccoons Black,40.35%,FALSE,#REF!,#REF!
,,40.35%,TRUE,40.35%,Intermediate
,,40.35%,TRUE,40.35%,Intermediate
,,40.35%,TRUE,40.35%,Intermediate
,,40.35%,TRUE,40.35%,Intermediate
,,40.35%,TRUE,40.35%,Intermediate
,,40.35%,TRUE,40.35%,Intermediate
,Flux Academy,40.32%,FALSE,#REF!,#REF!
,,40.26%,TRUE,40.26%,Intermediate
,,40.25%,TRUE,40.25%,Intermediate
,Spectral eSports Purple,40.23%,FALSE,#REF!,#REF!
,UC San Diego,24.02%,FALSE,#REF!,#REF!
,,40.21%,TRUE,40.21%,Intermediate
,,40.20%,TRUE,40.20%,Intermediate
,Team Immoral,40.19%,FALSE,#REF!,#REF!
,,40.07%,TRUE,40.07%,Intermediate
,,40.03%,TRUE,40.03%,Intermediate
,Underpaid Talent,39.98%,FALSE,#REF!,#REF!
,,39.97%,TRUE,39.97%,Contender
,Illini Orange,39.88%,FALSE,#REF!,#REF!
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.87%,TRUE,39.87%,Contender
,,39.86%,TRUE,39.86%,Contender
,,39.85%,TRUE,39.85%,Contender
,Chosen 1s,39.83%,FALSE,#REF!,#REF!
,,39.82%,TRUE,39.82%,Contender
,Underpaid Talent,39.80%,FALSE,#REF!,#REF!
,,39.79%,TRUE,39.79%,Contender
,,39.79%,TRUE,39.79%,Contender
,,39.77%,TRUE,39.77%,Contender
,,39.76%,TRUE,39.76%,Contender
,,39.75%,TRUE,39.75%,Contender
,,39.72%,TRUE,39.72%,Contender
,,39.70%,TRUE,39.70%,Contender
,,39.69%,TRUE,39.69%,Contender
,,39.67%,TRUE,39.67%,Contender
,,39.62%,TRUE,39.62%,Contender
,,39.61%,TRUE,39.61%,Contender
,,39.54%,TRUE,39.54%,Contender
,,39.52%,TRUE,39.52%,Contender
,,39.51%,TRUE,39.51%,Contender
,,39.50%,TRUE,39.50%,Contender
,,39.47%,TRUE,39.47%,Contender
,,39.45%,TRUE,39.45%,Contender
,Paradise,39.44%,FALSE,#REF!,#REF!
,,39.42%,TRUE,39.42%,Contender
,SHIFT Academy,39.40%,FALSE,#REF!,#REF!
,,39.39%,TRUE,39.39%,Contender
,Nightblood Gaming,39.36%,FALSE,#REF!,#REF!
,,39.34%,TRUE,39.34%,Contender
,GenZ,39.29%,FALSE,#REF!,#REF!
,,39.29%,TRUE,39.29%,Contender
,WannaBees,39.28%,FALSE,#REF!,#REF!
,,39.26%,TRUE,39.26%,Contender
,,39.21%,TRUE,39.21%,Contender
,,39.21%,TRUE,39.21%,Contender
,,39.20%,TRUE,39.20%,Contender
,,39.20%,TRUE,39.20%,Contender
,,39.19%,TRUE,39.19%,Contender
,,39.17%,TRUE,39.17%,Contender
,,39.16%,TRUE,39.16%,Contender
,,39.11%,TRUE,39.11%,Contender
,,39.10%,TRUE,39.10%,Contender
,,39.06%,TRUE,39.06%,Contender
,,39.01%,TRUE,39.01%,Contender
,,38.94%,TRUE,38.94%,Contender
,,38.91%,TRUE,38.91%,Contender
,REVIVAL,38.90%,FALSE,#REF!,#REF!
,,38.85%,TRUE,38.85%,Contender
,,38.76%,TRUE,38.76%,Contender
,,38.74%,TRUE,38.74%,Contender
,,38.74%,TRUE,38.74%,Contender
,OPERATION STRIX,38.69%,FALSE,#REF!,#REF!
,,38.68%,TRUE,38.68%,Contender
,Legion,38.58%,FALSE,#REF!,#REF!
,,38.58%,TRUE,38.58%,Contender
,,38.58%,TRUE,38.58%,Contender
,,38.57%,TRUE,38.57%,Contender
,,38.57%,TRUE,38.57%,Contender
,,38.51%,TRUE,38.51%,Contender
,,38.51%,TRUE,38.51%,Contender
,,38.50%,TRUE,38.50%,Contender
,,38.49%,TRUE,38.49%,Contender
,,38.47%,TRUE,38.47%,Contender
,,38.47%,TRUE,38.47%,Contender
,,38.42%,TRUE,38.42%,Contender
,,38.33%,TRUE,38.33%,Contender
,,38.29%,TRUE,38.29%,Contender
,,38.26%,TRUE,38.26%,Contender
,,38.25%,TRUE,38.25%,Contender
,,38.24%,TRUE,38.24%,Contender
,,38.23%,TRUE,38.23%,Contender
,Ugly Hamsters,38.17%,FALSE,#REF!,#REF!
,,38.17%,TRUE,38.17%,Contender
,,38.15%,TRUE,38.15%,Contender
,,38.12%,TRUE,38.12%,Contender
,,38.10%,TRUE,38.10%,Contender
,,38.07%,TRUE,38.07%,Contender
,,37.98%,TRUE,37.98%,Contender
,,37.86%,TRUE,37.86%,Contender
,,37.83%,TRUE,37.83%,Contender
,,37.81%,TRUE,37.81%,Contender
,,37.79%,TRUE,37.79%,Contender
,,37.76%,TRUE,37.76%,Contender
,,37.74%,TRUE,37.74%,Contender
,,37.72%,TRUE,37.72%,Contender
,,37.62%,TRUE,37.62%,Contender
,Alpha 1,37.54%,FALSE,#REF!,#REF!
,,37.54%,TRUE,37.54%,Contender
,,37.52%,TRUE,37.52%,Contender
,,37.52%,TRUE,37.52%,Contender
,,37.50%,TRUE,37.50%,Contender
,,37.42%,TRUE,37.42%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.36%,TRUE,37.36%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,,37.35%,TRUE,37.35%,Contender
,Mach5,37.35%,FALSE,#REF!,#REF!
,,37.30%,TRUE,37.30%,Contender
,,37.29%,TRUE,37.29%,Contender
,,37.29%,TRUE,37.29%,Contender
,,37.28%,TRUE,37.28%,Contender
,,37.19%,TRUE,37.19%,Contender
,,37.16%,TRUE,37.16%,Contender
,,37.14%,TRUE,37.14%,Contender
,,37.13%,TRUE,37.13%,Contender
,,37.10%,TRUE,37.10%,Contender
,UC San Diego,20.89%,FALSE,#REF!,#REF!
,,37.06%,TRUE,37.06%,Contender
,,37.02%,TRUE,37.02%,Contender
,,37.02%,TRUE,37.02%,Contender
,,37.01%,TRUE,37.01%,Contender
,,36.98%,TRUE,36.98%,Contender
,,36.95%,TRUE,36.95%,Contender
,,36.93%,TRUE,36.93%,Contender
,,36.92%,TRUE,36.92%,Contender
,UC San Diego,20.71%,FALSE,#REF!,#REF!
,,36.83%,TRUE,36.83%,Contender
,Hitmen,36.77%,FALSE,#REF!,#REF!
,,36.71%,TRUE,36.71%,Contender
,,36.68%,TRUE,36.68%,Contender
,,36.68%,TRUE,36.68%,Contender
,,36.67%,TRUE,36.67%,Contender
,,36.63%,TRUE,36.63%,Contender
,,36.51%,TRUE,36.51%,Contender
,Fifty50,36.50%,FALSE,#REF!,#REF!
,Krysos,36.49%,FALSE,#REF!,#REF!
,,36.49%,TRUE,36.49%,Contender
,,36.47%,TRUE,36.47%,Contender
,,36.47%,TRUE,36.47%,Contender
,,36.44%,TRUE,36.44%,Contender
,,36.44%,TRUE,36.44%,Contender
,,36.36%,TRUE,36.36%,Contender
,,36.36%,TRUE,36.36%,Contender
,,36.32%,TRUE,36.32%,Contender
,,36.31%,TRUE,36.31%,Contender
,,36.29%,TRUE,36.29%,Contender
,,36.26%,TRUE,36.26%,Contender
,NuLL Death,36.23%,FALSE,#REF!,#REF!
,,36.16%,TRUE,36.16%,Contender
,,36.14%,TRUE,36.14%,Contender
,,36.12%,TRUE,36.12%,Contender
,Adore Academy,36.12%,FALSE,#REF!,#REF!
,,36.11%,TRUE,36.11%,Contender
,T1,36.11%,FALSE,#REF!,#REF!
,,36.04%,TRUE,36.04%,Contender
,,35.94%,TRUE,35.94%,Contender
,,35.93%,TRUE,35.93%,Contender
,,35.92%,TRUE,35.92%,Contender
,,35.91%,TRUE,35.91%,Contender
,,35.91%,TRUE,35.91%,Contender
,,35.89%,TRUE,35.89%,Contender
,,35.86%,TRUE,35.86%,Contender
,,35.85%,TRUE,35.85%,Contender
,,35.78%,TRUE,35.78%,Contender
,,35.78%,TRUE,35.78%,Contender
,,35.77%,TRUE,35.77%,Contender
,,35.75%,TRUE,35.75%,Contender
,,35.75%,TRUE,35.75%,Contender
,,35.71%,TRUE,35.71%,Contender
,,35.70%,TRUE,35.70%,Contender
,,35.69%,TRUE,35.69%,Contender
,,35.68%,TRUE,35.68%,Contender
,,35.65%,TRUE,35.65%,Contender
,,35.65%,TRUE,35.65%,Contender
,,35.62%,TRUE,35.62%,Contender
,,35.61%,TRUE,35.61%,Contender
,,35.55%,TRUE,35.55%,Contender
,,35.54%,TRUE,35.54%,Contender
,,35.54%,TRUE,35.54%,Contender
,,35.53%,TRUE,35.53%,Contender
,,35.53%,TRUE,35.53%,Contender
,,35.52%,TRUE,35.52%,Contender
,,35.51%,TRUE,35.51%,Contender
,Starlight,35.50%,FALSE,#REF!,#REF!
,,35.48%,TRUE,35.48%,Contender
,,35.46%,TRUE,35.46%,Contender
,,35.42%,TRUE,35.42%,Contender
,,35.40%,TRUE,35.40%,Contender
,,35.39%,TRUE,35.39%,Contender
,,35.35%,TRUE,35.35%,Contender
,,35.34%,TRUE,35.34%,Contender
,Hitbox,35.23%,FALSE,#REF!,#REF!
,PommyPurin,35.21%,FALSE,#REF!,#REF!
,,35.17%,TRUE,35.17%,Contender
,,35.10%,TRUE,35.10%,Contender
,,35.08%,TRUE,35.08%,Contender
,,35.07%,TRUE,35.07%,Contender
,,35.05%,TRUE,35.05%,Contender
,,35.03%,TRUE,35.03%,Contender
,Ugly Hamsters,34.96%,FALSE,#REF!,#REF!
,,34.84%,TRUE,34.84%,Contender
,,34.80%,TRUE,34.80%,Contender
,,34.78%,TRUE,34.78%,Contender
,,34.70%,TRUE,34.70%,Contender
,Olympus Gaming,34.68%,FALSE,#REF!,#REF!
,,34.63%,TRUE,34.63%,Contender
,,34.60%,TRUE,34.60%,Contender
,,34.56%,TRUE,34.56%,Contender
,,34.52%,TRUE,34.52%,Contender
,Argon,34.48%,FALSE,#REF!,#REF!
,,34.46%,TRUE,34.46%,Contender
,,34.43%,TRUE,34.43%,Contender
,,34.34%,TRUE,34.34%,Contender
,,34.29%,TRUE,34.29%,Contender
,,34.24%,TRUE,34.24%,Contender
,,34.19%,TRUE,34.19%,Contender
,Elon Muskrats,34.15%,FALSE,#REF!,#REF!
,,34.08%,TRUE,34.08%,Contender
,,34.08%,TRUE,34.08%,Contender
,,33.98%,TRUE,33.98%,Contender
,,33.94%,TRUE,33.94%,Contender
,Aspyre,33.87%,FALSE,#REF!,#REF!
,,33.86%,TRUE,33.86%,Contender
,,33.85%,TRUE,33.85%,Contender
,,33.85%,TRUE,33.85%,Contender
,,33.79%,TRUE,33.79%,Contender
,,33.76%,TRUE,33.76%,Contender
,,33.72%,TRUE,33.72%,Contender
,,33.67%,TRUE,33.67%,Contender
,,33.66%,TRUE,33.66%,Contender
,,33.65%,TRUE,33.65%,Contender
,,33.62%,TRUE,33.62%,Contender
,,33.56%,TRUE,33.56%,Contender
,,33.48%,TRUE,33.48%,Contender
,,33.40%,TRUE,33.40%,Contender
,,33.36%,TRUE,33.36%,Contender
,Disciples,33.31%,FALSE,#REF!,#REF!
,,33.29%,TRUE,33.29%,Contender
,,33.29%,TRUE,33.29%,Contender
,Heckin Love Dinos,33.27%,FALSE,#REF!,#REF!
,,33.26%,TRUE,33.26%,Contender
,,33.25%,TRUE,33.25%,Contender
,,33.25%,TRUE,33.25%,Contender
,,33.25%,TRUE,33.25%,Contender
,,33.20%,TRUE,33.20%,Contender
,,33.08%,TRUE,33.08%,Contender
,Disciples,33.02%,FALSE,#REF!,#REF!
,,32.98%,TRUE,32.98%,Contender
,,32.98%,TRUE,32.98%,Contender
,,32.97%,TRUE,32.97%,Contender
,Vanguard Gaming,32.94%,FALSE,#REF!,#REF!
,,32.93%,TRUE,32.93%,Contender
,,32.90%,TRUE,32.90%,Contender
,,32.90%,TRUE,32.90%,Contender
,,32.83%,TRUE,32.83%,Contender
,,32.82%,TRUE,32.82%,Contender
,BHOP Esports,32.81%,FALSE,#REF!,#REF!
,,32.78%,TRUE,32.78%,Contender
,,32.70%,TRUE,32.70%,Contender
,,32.65%,TRUE,32.65%,Contender
,,32.63%,TRUE,32.63%,Contender
,,32.61%,TRUE,32.61%,Contender
,Omega,32.59%,FALSE,#REF!,#REF!
,,32.59%,TRUE,32.59%,Contender
,SHIFT X,32.56%,FALSE,#REF!,#REF!
,,32.53%,TRUE,32.53%,Contender
,,32.48%,TRUE,32.48%,Contender
,,32.47%,TRUE,32.47%,Contender
,,32.44%,TRUE,32.44%,Contender
,,32.36%,TRUE,32.36%,Contender
,,32.36%,TRUE,32.36%,Contender
,,32.35%,TRUE,32.35%,Contender
,,32.30%,TRUE,32.30%,Contender
,,32.30%,TRUE,32.30%,Contender
,,32.26%,TRUE,32.26%,Contender
,,32.18%,TRUE,32.18%,Contender
,Agoge Gaming,32.17%,FALSE,#REF!,#REF!
,,32.10%,TRUE,32.10%,Contender
,,32.04%,TRUE,32.04%,Contender
,,32.03%,TRUE,32.03%,Contender
,,32.03%,TRUE,32.03%,Contender
,DONOOBS,32.00%,FALSE,#REF!,#REF!
,,31.98%,TRUE,31.98%,Contender
,jade esports,31.92%,FALSE,#REF!,#REF!
,Evolution Gaming,31.91%,FALSE,#REF!,#REF!
,,31.89%,TRUE,31.89%,Contender
,,31.87%,TRUE,31.87%,Contender
,,31.81%,TRUE,31.81%,Contender
,,31.78%,TRUE,31.78%,Contender
,Jellyspotters,31.76%,FALSE,#REF!,#REF!
,,31.74%,TRUE,31.74%,Contender
,,31.72%,TRUE,31.72%,Contender
,,31.66%,TRUE,31.66%,Contender
,,31.61%,TRUE,31.61%,Contender
,Chosen 1s,31.56%,FALSE,#REF!,#REF!
,,31.56%,TRUE,31.56%,Contender
,,31.43%,TRUE,31.43%,Contender
,,31.40%,TRUE,31.40%,Contender
,,31.35%,TRUE,31.35%,Contender
,,31.32%,TRUE,31.32%,Contender
,,31.31%,TRUE,31.31%,Contender
,,31.25%,TRUE,31.25%,Contender
,,31.18%,TRUE,31.18%,Contender
,,31.18%,TRUE,31.18%,Contender
,,31.17%,TRUE,31.17%,Contender
,,31.14%,TRUE,31.14%,Contender
,,31.13%,TRUE,31.13%,Contender
,Lionheart Esports,31.12%,FALSE,#REF!,#REF!
,,31.12%,TRUE,31.12%,Contender
,Esperion FC,31.11%,FALSE,#REF!,#REF!
,,31.10%,TRUE,31.10%,Contender
,,31.07%,TRUE,31.07%,Contender
,,31.06%,TRUE,31.06%,Contender
,Lionheart Esports,30.98%,FALSE,#REF!,#REF!
,,30.94%,TRUE,30.94%,Contender
,Force Up Esports,30.90%,FALSE,#REF!,#REF!
,,30.89%,TRUE,30.89%,Contender
,,30.82%,TRUE,30.82%,Contender
,,30.82%,TRUE,30.82%,Contender
,,30.81%,TRUE,30.81%,Contender
,Starlight,30.69%,FALSE,#REF!,#REF!
,,30.65%,TRUE,30.65%,Contender
,,30.59%,TRUE,30.59%,Contender
,,30.51%,TRUE,30.51%,Contender
,5K Amethyst,30.46%,FALSE,#REF!,#REF!
,,30.45%,TRUE,30.45%,Contender
,E-Daters Inc.,30.37%,FALSE,#REF!,#REF!
,Sailor Moon,30.34%,FALSE,#REF!,#REF!
,,30.33%,TRUE,30.33%,Contender
,,30.31%,TRUE,30.31%,Contender
,,30.29%,TRUE,30.29%,Contender
,Verity Esports White,30.27%,FALSE,#REF!,#REF!
,,30.23%,TRUE,30.23%,Contender
,Xanity Crimson,30.22%,FALSE,#REF!,#REF!
,,30.17%,TRUE,30.17%,Contender
,,30.16%,TRUE,30.16%,Contender
,Elon Muskrats,30.10%,FALSE,#REF!,#REF!
,,30.08%,TRUE,30.08%,Contender
,,29.99%,TRUE,29.99%,Contender
,,29.96%,TRUE,29.96%,Contender
,,29.94%,TRUE,29.94%,Contender
,,29.91%,TRUE,29.91%,Contender
,,29.89%,TRUE,29.89%,Contender
,BHAAD,29.87%,FALSE,#REF!,#REF!
,,29.86%,TRUE,29.86%,Contender
,,29.84%,TRUE,29.84%,Contender
,,29.80%,TRUE,29.80%,Contender
,,29.76%,TRUE,29.76%,Contender
,,29.60%,TRUE,29.60%,Contender
,,29.60%,TRUE,29.60%,Contender
,,29.54%,TRUE,29.54%,Contender
,,29.54%,TRUE,29.54%,Contender
,,29.49%,TRUE,29.49%,Contender
,,29.47%,TRUE,29.47%,Contender
,,29.44%,TRUE,29.44%,Contender
,,29.44%,TRUE,29.44%,Contender
,,29.41%,TRUE,29.41%,Contender
,,29.38%,TRUE,29.38%,Contender
,,29.32%,TRUE,29.32%,Contender
,,29.29%,TRUE,29.29%,Contender
,DONOOBS,29.28%,FALSE,#REF!,#REF!
,,29.25%,TRUE,29.25%,Contender
,,29.24%,TRUE,29.24%,Contender
,,29.24%,TRUE,29.24%,Contender
,,29.22%,TRUE,29.22%,Contender
,,29.21%,TRUE,29.21%,Contender
,,29.20%,TRUE,29.20%,Contender
,,29.20%,TRUE,29.20%,Contender
,Starlight,29.16%,FALSE,#REF!,#REF!
,Project (Yoon),29.15%,FALSE,#REF!,#REF!
,,29.09%,TRUE,29.09%,Contender
,,29.08%,TRUE,29.08%,Contender
,,29.04%,TRUE,29.04%,Contender
,,28.99%,TRUE,28.99%,Contender
,,28.94%,TRUE,28.94%,Contender
,,28.89%,TRUE,28.89%,Contender
,,28.89%,TRUE,28.89%,Contender
,,28.86%,TRUE,28.86%,Contender
